Date	NumberOfCases
Apr 26	38
Apr 25	82
Apr 24	116
Apr 23	202
Apr 22	229
Apr 21	202
Apr 20	215
Apr 19	114
Apr 18	106
Apr 17	168
Apr 16	178
Apr 15	199
Apr 14	258
Apr 13	156
Apr 12	157
Apr 11	140
Apr 10	142
Apr 9	140
Apr 8	299
Apr 7	347
Apr 6	424
Apr 5	159
Apr 4	312
Apr 3	466
Apr 2	378
Apr 1	281
Mar 31	253
Mar 30	308
Mar 29	128
Mar 28	201
Mar 27	205
Mar 26	159
Mar 25	147
Mar 24	139
Mar 23	132
Mar 22	61
Mar 21	48
Mar 20	104
Mar 19	107
Mar 18	83
Mar 17	76
Mar 16	74
Mar 15	45
Mar 14	37
Mar 13	33
Mar 12	45
Mar 11	207
Mar 10	256
Mar 9	210
Mar 8	48
Mar 7	9
Mar 6	2
Mar 5	10
Mar 4	3
Jan 27 to Mar 3	13
