Date	NumberOfCases
Apr 26	31
Apr 25	63
Apr 24	86
Apr 23	106
Apr 22	122
Apr 21	112
Apr 20	146
Apr 19	63
Apr 18	55
Apr 17	123
Apr 16	119
Apr 15	126
Apr 14	171
Apr 13	115
Apr 12	79
Apr 11	75
Apr 10	64
Apr 9	146
Apr 8	127
Apr 7	198
Apr 6	208
Apr 5	106
Apr 4	74
Apr 3	198
Apr 2	154
Apr 1	145
Mar 31	117
Mar 30	116
Mar 29	58
Mar 28	74
Mar 27	89
Mar 26	104
Mar 25	99
Mar 24	98
Mar 23	82
Mar 22	77
Mar 21	82
Mar 20	81
Mar 19	92
Mar 18	86
Mar 17	41
Mar 16	45
Mar 15	46
Mar 14	26
Mar 13	28
Mar 12	57
Mar 11	73
Mar 10	54
Mar 9	16
Mar 8	9
Mar 7	7
Mar 6	6
Mar 5	1
Mar 4	5
Mar 3	4
Mar 2	0
Mar 1	1
Feb 29	1
Feb 28	2
Feb 27	1
Feb 26	0
Feb 25	1
Feb 24	0
Feb 23	0
Feb 22	0
Feb 21	0
Feb 20	0
Feb 19	0
Feb 18	0
Feb 17	0
Feb 16	0
Feb 15	0
Feb 14	0
Feb 13	0
Feb 12	0
Feb 11	0
Feb 10	0
Feb 9	0
Feb 8	0
Feb 7	0
Feb 6	0
Feb 5	0
Feb 4	0
Feb 3	0
Feb 2	0
Feb 1	0
Jan 31	0
Jan 30	0
Jan 29	1
