Date	NumberOfDeaths
Apr 27	2274
Apr 26	2250
Apr 25	2227
Apr 24	2206
Apr 23	2176
Apr 22	2129
Apr 21	2078
Apr 20	2030
Apr 19	1958
Apr 18	1881
Apr 17	1807
Apr 16	1733
Apr 15	1625
Apr 14	1516
Apr 13	1426
Apr 12	1342
Apr 11	1245
Apr 10	1145
Apr 9	1,056
Apr 8	972
Apr 7	862
Apr 6	779
Apr 5	688
Apr 4	602
Apr 3	531
Apr 2	453
Apr 1	384
Mar 31	331
Mar 30	284
Mar 29	241
Mar 28	202
Mar 27	167
Mar 26	135
Mar 25	104
Mar 24	81
Mar 23	61
Mar 22	50
Mar 21	38
Mar 20	30
Mar 19	21
Mar 18	14
Mar 17	8
Mar 16	7
Mar 15	5
Mar 14	3
Mar 13	2
Mar 12	1
Mar 11	1
